"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.564236480E-1,-3.023782931E-2,-2.015855350E-2,-1.343903504E-2,3.874662906E-2
3.572786480E-1,-3.023782931E-2,-2.015855350E-2,-1.343903504E-2,3.874662906E-2
3.657266480E-1,1.832595794E-3,1.863138936E-2,8.552113548E-3,2.058217003E-2
3.665866480E-1,1.832595794E-3,1.863138936E-2,8.552113548E-3,2.058217003E-2
3.750746480E-1,9.468411095E-3,3.970624134E-2,1.130100712E-2,4.235503715E-2
3.759386480E-1,9.468411095E-3,3.970624134E-2,1.130100712E-2,4.235503715E-2
3.844186480E-1,3.054326167E-3,4.764748737E-2,4.581489135E-3,4.796459115E-2
3.852816480E-1,3.054326167E-3,4.764748737E-2,4.581489135E-3,4.796459115E-2
3.939006480E-1,1.343903504E-2,6.017022580E-2,3.359758761E-3,6.174424438E-2
3.948566480E-1,1.343903504E-2,6.017022580E-2,3.359758761E-3,6.174424438E-2
4.030246480E-1,1.924225502E-2,6.658431143E-2,1.466076635E-2,7.084259295E-2
4.038956480E-1,1.924225502E-2,6.658431143E-2,1.466076635E-2,7.084259295E-2
4.123446480E-1,2.596177347E-2,5.375614017E-2,3.054326214E-2,6.705689487E-2
4.132076480E-1,2.596177347E-2,5.375614017E-2,3.054326214E-2,6.705689487E-2
4.216696480E-1,3.023782931E-2,3.176499158E-2,3.268129006E-2,5.469376319E-2
4.225346480E-1,3.023782931E-2,3.176499158E-2,3.268129006E-2,5.469376319E-2
4.310816480E-1,3.237585723E-2,7.330383174E-3,1.954768784E-2,3.852327542E-2
4.320106480E-1,3.237585723E-2,7.330383174E-3,1.954768784E-2,3.852327542E-2
4.402936480E-1,2.809980139E-2,-1.007927675E-2,2.321287990E-2,3.781571698E-2
4.411646480E-1,2.809980139E-2,-1.007927675E-2,2.321287990E-2,3.781571698E-2
4.496376480E-1,2.718350291E-2,-1.404990070E-2,2.748893574E-2,4.113373467E-2
4.505216480E-1,2.718350291E-2,-1.404990070E-2,2.748893574E-2,4.113373467E-2
